"","SITE","DATE","Ammonia","Phosphate","DOC..mg.L.","TDN..mg.L.","Cl","SO4","Br","NO3.N","Temp.C","SPC.uS.cm","Pressure.mmHg","DO..","DO.mg.L","pH","E.Coli..CFU.per.100mL.","Na","K","Mg","Ca","MedianHHIn","Low_20thPHHIn","roadLength_km","roadDensity_kmkm2","pipeLength_km","pipeDensity_kmkm2","perMinority","gs_area","per_gs"
"85",21.2,2022-06-16,0.0931,0.014,11.01,0.4586,35.4368215,12.67439176,0.54890621,0.07743208,22.9,367.8,757.7,32,2.49,6.83,63,28.35934632,4.5482295,11.00170675,44.85965452,15000,9000,26.03172358,13.38180703,7.762921104,3.990589095,89.07672302,2233450.002,1.148122093
"86",22.2,2022-06-16,0.192,0.0315,7.382,0.5187,22.06985425,18.43439797,0.31695329,0.0884794,23.3,267.5,757.7,16.2,1.38,6.93,364,25.7757604,3.76894194,6.61840768,30.32400036,9000,5000,60.82038615,13.36253886,24.41956764,5.365099471,97.01715138,989586.3187,0.217416996
"87",23.2,2022-06-16,0.281,0.047,9.769,0.5912,17.6008705,4.77916666,0.30532583,0.01521156,23.5,288.1,757.8,18.4,1.53,6.97,160,18.13675504,4.69992288,7.27739743,38.29090644,8000,5000,62.41791225,13.44165884,38.28153959,8.2439059,86.43556895,1311989.736,0.282536179
"88",24.2,2022-06-16,0.0838,0.0148,10.94,0.5613,21.3546625,11.39136841,0.24927551,0.08065132,24.7,237.5,757.8,24.4,2.01,7.24,4106,17.77234504,3.98855033,6.23504371,29.11091812,9000,5000,148.130188,11.51168109,76.61299943,5.953846606,90.26514418,4535026.056,0.352431698
"89",25.2,2022-06-16,0.225,0.0201,11.8,0.6509,12.8912845,2.04086767,0.07247849,0.01088784,23,194.7,757.6,25,2.14,6.98,581,11.2398504,3.35649458,6.18975475,27.10535416,55000,32200,13.44649632,6.804729856,4.564588821,2.309954437,71.84750733,NA,NA
"90",26.2,2022-06-16,0.126,0.0191,7.668,0.4486,19.57100125,4.61164441,0.30234443,0.11497444,22.5,309.1,757.9,6,0.5,7,253,15.07409144,3.2048012,8.77122547,30.14930268,47000,28000,31.15672085,8.337333755,9.333104171,2.497477344,73.50180505,NA,NA
"91",27.1,2022-06-16,0.136,0.0172,9.135,0.6737,21.2100145,15.58888474,0.39133922,0.221302,25.4,308.2,758,83,6.8,7.05,74,23.57440008,5.63933123,9.69894151,36.18386792,23000,9000,446.1540814,9.949306991,272.0035669,6.065722813,51.98819509,18731125.28,0.417707074
"92",27.2,2022-06-16,0.323,0.0274,16.49,0.9318,29.87592175,5.40786781,0.70125575,0.06367504,22.8,438.8,758.1,21.3,1.81,7,185,24.4217748,5.71517792,15.49575148,57.24070396,35000,25800,17.64594994,13.70505967,3.639702542,2.826843592,82.22222222,NA,NA
"93",27.3,2022-06-16,0.0398,0.04,10.31,1.017,53.82383875,57.362233,0.11824298,0.12352048,24.5,440.7,758.2,92.4,7.7,7.2,0,66.24535344,19.39831738,5.21533447,20.76751836,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",29.1,2022-06-16,0.0339,0.035,9.993,0.9751,49.903165,52.70826781,0.10616831,0.16752448,24.4,418.8,758,87.4,7.29,7.03,213,61.05194408,17.66673249,5.43381832,22.3164468,23000,9000,460.1149955,9.698620026,276.2607671,5.823214271,52.04834211,18731125.28,0.394827529
"95",29.2,2022-06-16,0.167,0.011,5.072,0.414,5.9812555,6.93133486,0.1519328,0.06596788,22.2,109.9,758,77,6.71,6.44,168,8.80105672,1.92780072,3.67692511,12.36675088,21000,10000,20.87902571,7.176305545,5.014638101,1.723575405,86.02192639,772709.3734,0.265587036
"96",31.1,2022-06-16,0.034,0.0342,8.871,0.8813,49.03112425,51.84503551,0.08857805,0.17658004,24.7,421.1,758.9,68.9,5.71,7.6,122,60.29883008,17.33161901,5.38888318,23.22078116,23000,9000,497.9835351,8.80121787,284.8567645,5.034476584,55.10739191,29004238.13,0.512612568
"97",32.2,2022-06-16,0.109,0.005,5.712,0.3285,11.60746,2.88596815,0.19233077,0.0464244,18.9,318.2,758.3,13.1,1.23,6.75,292,12.06325504,1.63284137,8.30453689,14.61879424,39000,27600,17.4570625,5.65099318,0.144637271,0.046820262,73.39449541,20144389.22,6.520902706
"98",33.1,2022-06-16,0.0353,0.0324,8.438,0.8233,48.63767875,51.77960329,0.35705312,0.15369796,25.3,424.6,759.1,58,4.76,7.76,86,59.48805832,17.14671172,5.66910862,22.49546868,23000,9000,515.760932,8.207833442,284.919501,4.534216657,55.17337109,59663868.83,0.949492425
