"","SITE","DATE","NH4-N.(mg/L)","PO4-P","DOC.(mg/L)","TDN.(mg/L)","Cl.(mg/L)","SO4.(mg/L)","Br.(mg/L)","NO3-N.(mg/L)","Temp..C.","SPC..uS.cm.","Pressure..mmHg.","DO....","DO..mg.L.","pH","Longitude","Latitude","E.Coli (CFU per 100mL)"
"36",13.2,2022-02-26,0.0159,0.0231,5.311,0.9757,30.69303234,23.2223641,0.68009011,0.76774152,8.9,347.8,765.4,91.9,10.26,7.3,-78.89997694,36.01583301,730.8
"37",14.2,2022-02-26,0.033,0.0228,3.087,0.7441,24.28932098,17.09772592,0.57387367,0.6324622,NA,NA,NA,NA,NA,NA,NA,NA,378.4
"38",15.1,2022-02-26,0.0346,0.0289,6.05,0.6346,30.26831962,12.09401282,0.33569135,0.312247,9.6,225.3,765.4,112.2,12.7,7.43,-78.8840977,36.01587791,NA
"39",16.1,2022-02-26,0.0293,0.0226,6.861,0.6194,28.97340128,12.1259059,0.36626881,0.294844,9.7,222.4,764.8,101.8,11.43,7.25,-78.8710622,36.02154366,NA
"40",17.2,2022-02-26,0.0287,NA,7.665,0.5244,11.3663263,9.53089822,0.38397155,0.2142101,9.3,152.3,764.8,99.6,10.87,6.84,-78.87541202,36.02408123,368.4
"41",18.2,2022-02-26,NA,NA,4.19,0.3663,12.07569902,15.9316838,0.45075916,0.1823046,9.3,373.7,765,70.9,8.14,7.31,-78.88432556,35.99416508,2827.2
"42",19.2,2022-02-26,0.0303,0.0193,2.987,0.204,6.37082796,6.00087878,NA,0.05382533,8.9,293.6,765.6,70.4,8.15,7.06,-78.88057989,36.00428005,1732.8
"43",20.2,2022-02-26,0.0538,0.0108,6.39,0.5071,26.17490882,18.5200795,0.66802006,0.2548171,8.7,299.8,765.3,73.4,8.52,6.93,-78.87276769,36.00234683,177.6
"44",21.2,2022-02-26,0.0819,NA,8.549,0.5321,53.3977986,12.44250306,0.83941477,0.20167994,9.1,414.3,765.9,92.5,10.67,6.94,-78.86765057,36.01134455,391.2
"45",22.2,2022-02-26,0.0401,0.0104,5.817,0.4117,19.75354854,13.36740238,0.51191408,0.18555316,8.8,277.3,765.9,72.9,8.46,6.91,-78.869859,36.00833714,171.4
"46",23.2,2022-02-26,0.025,0.0129,6.188,0.4638,24.42424982,15.99430314,0.54007753,0.2176907,9.2,277.9,766.1,74.1,8.52,6.95,-78.87357253,36.01206975,1226.2
"47",24.2,2022-02-26,0.0288,0.0113,7.048,0.6116,37.95584758,15.63920092,0.50467205,0.25470108,9.8,300.4,764.8,95.1,11.01,7.16,-78.86067759,36.02434452,922.2
"48",25.2,2022-02-26,NA,0.0119,7.988,0.4025,16.7933692,8.98093706,0.53927286,0.12754316,8.6,214.6,765.8,75.3,8.78,7.06,-78.85394308,36.01783843,313
"49",26.2,2022-02-26,0.0145,NA,7.085,0.389,29.62100278,9.33798398,0.573069,0.15573602,9.2,258.3,764.6,92.6,10.41,7.11,-78.85853109,36.02343093,214.1
"50",27.1,2022-02-26,0.0547,0.0144,7.08,0.6564,32.98568398,13.60115532,0.44271246,0.28173374,9.6,259.1,765.3,90,10.39,7.02,-78.86488496,36.02818888,NA
"51",27.2,2022-02-26,0.0327,0.0116,9.037,0.6069,48.49282214,12.82171956,0.64307529,0.22418782,8.4,329.9,765.7,95.7,11.2,7.04,-78.859887,36.03616002,296.6
"52",27.3,2022-02-26,NA,0.0122,6.998,1.694,47.22807776,52.06265404,0.62859123,1.1464308,15.5,429.3,765.4,93,9.33,7.1,-78.8621502,36.03059746,NA
"53",29.1,2022-02-26,0.0183,0.0139,7.04,1.379,41.72303802,38.70256504,0.51915611,0.88689406,13.1,364.3,766,93.9,9.89,7.39,-78.85769857,36.04046891,NA
"54",29.2,2022-02-26,NA,0.0181,11.72,0.4732,15.10704336,10.23060128,0.41776769,0.03998619,8.2,153.7,765.8,94.1,11.08,6.86,-78.85795078,36.04067594,282.8
"55",31.1,2022-02-26,NA,0.0133,7.601,1.243,40.04069742,37.24792944,0.51271875,0.72887482,12.2,349.9,765.6,100.5,10.79,7.24,-78.83268201,36.05964873,NA
"56",32.2,2022-02-26,0.0119,0.0159,5.379,0.3518,21.19307416,9.9245055,0.24878699,0.1747633,9.1,135.2,765.4,89.7,10.35,7.28,-78.82707872,36.05229661,237.4
"57",33.1,2022-02-26,NA,0.013,6.88,1.094,37.82177272,34.78710606,0.50306271,0.67701388,11.5,337.9,765.2,93.1,10.14,7.25,-78.81732848,36.05984706,NA
"58",0,2021-02-10,NA,NA,3.006,0.1016,13.39082822,7.52552358,0.40730698,0.01939625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",0,2021-02-23,NA,NA,3.297,0.1153,13.40619986,8.82224954,0.29223917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0,2022-01-07,NA,0.0104,5.348,0.4888,9.63388554,7.5247457,0.21660019,0.30331346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0,2022-01-21,NA,NA,4.547,0.3392,16.73871448,8.01597692,0.2270609,0.1944867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0,2022-01-28,NA,NA,3.125,0.2133,16.50899386,7.98797324,0.24637298,0.12812326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",0,2022-01-14,NA,0.0102,5.024,0.3527,10.86020082,7.8903493,0.26407572,0.17499534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0,2022-02-18,NA,NA,2.785,0.1088,14.46228846,8.10504418,0.32844932,0.02732844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0,2022-02-25,NA,NA,2.96,0.1361,15.19898854,8.16883034,0.30591856,0.01804609,NA,NA,NA,NA,NA,NA,NA,NA,NA
